pair_name,accuracy,f1_score,precision,recall,balance_ratio,n_trials_total,n_trials_class0,n_trials_class1,time_seconds
Inner-Left_vs_Pron-Up,90.12,83.66,94.12,75.29,0.50,841,559,282,24.79
Inner-Up_vs_Pron-Down,89.72,83.33,91.55,76.47,0.50,841,559,282,24.22
Inner-Left_vs_Pron-Down,89.33,82.80,90.28,76.47,0.50,841,559,282,24.32
Inner-Up_vs_Pron-Left,88.93,81.33,93.85,71.76,0.50,841,559,282,24.45
Inner-Right_vs_Pron-Down,88.54,79.72,98.28,67.06,0.50,841,559,282,24.70
Inner-Down_vs_Pron-Up,88.14,80.00,92.31,70.59,0.50,841,559,282,24.83
Inner-Right_vs_Pron-Up,87.75,78.01,98.21,64.71,0.50,841,559,282,24.72
Inner-Up_vs_Pron-Up,87.75,78.91,93.55,68.24,0.50,841,559,282,24.07
Inner-Left_vs_Pron-Left,87.75,80.00,88.57,72.94,0.50,841,559,282,24.34
Inner-Right_vs_Pron-Left,87.35,77.46,96.49,64.71,0.50,841,559,282,24.77
Pron-Up_vs_Vis-Down,87.11,90.54,88.76,92.40,0.50,851,282,569,24.68
Pron-Left_vs_Vis-Up,86.72,90.76,84.77,97.66,0.50,851,282,569,24.81
Pron-Left_vs_Vis-Left,86.72,90.71,85.13,97.08,0.50,851,282,569,25.09
Inner-Down_vs_Pron-Down,86.56,76.71,91.80,65.88,0.50,841,559,282,24.66
Inner-Down_vs_Pron-Left,86.56,76.06,94.74,63.53,0.50,841,559,282,24.88
Pron-Up_vs_Vis-Left,86.33,90.03,87.78,92.40,0.50,851,282,569,25.09
Pron-Up_vs_Vis-Up,85.55,90.08,83.17,98.25,0.50,851,282,569,25.27
Pron-Down_vs_Vis-Right,85.16,89.84,82.76,98.25,0.50,851,282,569,24.93
Pron-Down_vs_Vis-Left,85.16,89.73,83.42,97.08,0.50,851,282,569,25.08
Inner-Up_vs_Pron-Right,84.98,72.06,96.08,57.65,0.50,841,559,282,24.23
Pron-Down_vs_Vis-Up,83.98,89.18,81.25,98.83,0.50,851,282,569,25.57
Pron-Up_vs_Vis-Right,83.59,88.95,80.86,98.83,0.50,851,282,569,25.38
Inner-Down_vs_Pron-Right,83.40,69.12,92.16,55.29,0.50,841,559,282,24.79
Inner-Right_vs_Pron-Right,81.82,64.62,93.33,49.41,0.50,841,559,282,24.73
Pron-Left_vs_Vis-Right,81.64,87.60,79.81,97.08,0.50,851,282,569,24.98
Pron-Right_vs_Vis-Up,81.64,87.73,79.25,98.25,0.50,851,282,569,25.21
Inner-Left_vs_Pron-Right,81.03,62.50,93.02,47.06,0.50,841,559,282,24.76
Pron-Down_vs_Vis-Down,80.86,86.27,82.80,90.06,0.50,851,282,569,24.97
Pron-Left_vs_Vis-Down,79.30,85.56,80.10,91.81,0.50,851,282,569,24.50
Pron-Right_vs_Vis-Right,78.91,86.01,77.21,97.08,0.50,851,282,569,24.89
Pron-Right_vs_Vis-Down,78.91,85.64,78.54,94.15,0.50,851,282,569,24.92
Pron-Right_vs_Vis-Left,78.91,85.71,78.26,94.74,0.50,851,282,569,24.83
Inner-Right_vs_Vis-Left,77.58,78.77,75.40,82.46,0.98,1128,559,569,31.26
Inner-Up_vs_Vis-Left,77.29,77.94,76.40,79.53,0.98,1128,559,569,30.82
Inner-Down_vs_Vis-Left,75.81,76.02,76.02,76.02,0.98,1128,559,569,30.96
Inner-Left_vs_Vis-Up,74.63,75.29,74.01,76.61,0.98,1128,559,569,30.68
Inner-Left_vs_Vis-Left,74.63,75.00,74.57,75.44,0.98,1128,559,569,30.80
Inner-Down_vs_Vis-Up,74.34,73.72,76.25,71.35,0.98,1128,559,569,30.82
Inner-Right_vs_Vis-Up,74.04,73.81,75.15,72.51,0.98,1128,559,569,30.81
Inner-Right_vs_Vis-Down,73.16,72.84,74.39,71.35,0.98,1128,559,569,30.64
Inner-Down_vs_Vis-Right,72.86,72.94,73.37,72.51,0.98,1128,559,569,30.47
Inner-Left_vs_Vis-Down,71.68,70.91,73.58,68.42,0.98,1128,559,569,30.43
Inner-Right_vs_Vis-Right,71.68,70.91,73.58,68.42,0.98,1128,559,569,31.94
Inner-Left_vs_Vis-Right,70.21,69.30,72.15,66.67,0.98,1128,559,569,30.93
Inner-Up_vs_Vis-Down,69.91,70.18,70.18,70.18,0.98,1128,559,569,30.70
Inner-Up_vs_Vis-Up,69.62,70.32,69.32,71.35,0.98,1128,559,569,30.41
Inner-Down_vs_Vis-Down,69.32,68.86,70.55,67.25,0.98,1128,559,569,30.87
Inner-Up_vs_Vis-Right,65.78,64.20,67.97,60.82,0.98,1128,559,569,31.28
Pron-Up_vs_Pron-Right,61.76,62.43,61.36,63.53,1.00,564,282,282,19.73
Pron-Down_vs_Pron-Right,61.18,60.24,61.73,58.82,1.00,564,282,282,19.60
Pron-Down_vs_Pron-Left,60.59,63.78,59.00,69.41,1.00,564,282,282,19.60
Pron-Up_vs_Pron-Left,59.41,60.57,58.89,62.35,1.00,564,282,282,19.70
Pron-Left_vs_Pron-Right,58.82,58.82,58.82,58.82,1.00,564,282,282,19.56
Pron-Up_vs_Pron-Down,55.88,56.65,55.68,57.65,1.00,564,282,282,19.71
Inner-Up_vs_Inner-Right,54.76,51.59,55.48,48.21,1.00,1118,559,559,30.56
Vis-Up_vs_Vis-Down,53.80,52.12,54.09,50.29,1.00,1138,569,569,31.26
Vis-Down_vs_Vis-Left,50.88,48.47,50.97,46.20,1.00,1138,569,569,30.53
Inner-Down_vs_Inner-Right,50.30,51.31,50.29,52.38,1.00,1118,559,559,30.47
Vis-Left_vs_Vis-Right,50.29,48.17,50.32,46.20,1.00,1138,569,569,30.10
Inner-Up_vs_Inner-Left,50.00,52.00,50.00,54.17,1.00,1118,559,559,30.30
Vis-Down_vs_Vis-Right,49.12,47.90,49.08,46.78,1.00,1138,569,569,30.29
Inner-Up_vs_Inner-Down,49.11,44.30,48.92,40.48,1.00,1118,559,559,33.85
Vis-Up_vs_Vis-Left,48.25,46.85,48.15,45.61,1.00,1138,569,569,30.99
Vis-Up_vs_Vis-Right,46.49,45.05,46.30,43.86,1.00,1138,569,569,30.50
Inner-Left_vs_Inner-Right,46.43,49.15,46.77,51.79,1.00,1118,559,559,30.27
Inner-Down_vs_Inner-Left,45.83,46.47,45.93,47.02,1.00,1118,559,559,30.21
